Area,Price,Type,Area
Devanahalli,1.35 Cr,Residential Plot,2490 sqft
Kanakapura Road,86.9 Lac,3 BHK 1665 Sq-ft Flat,1665 sqft
Hesaraghatta Main Road,52.6 Lac,3 BHK 1210 Sq-ft Flat,1210 sqft
Whitefield,70.0 Lac,2 BHK 1390 Sq-ft Flat,1390 sqft
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur Road,23.4 Lac,Residential Plot,1200 sqft
Hulimavu,75.9 Lac,3 BHK 1576 Sq-ft Flat,1576 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Devanahalli,45.0 Lac,Residential Plot,1500 sqft
Harlur,68.3 Lac,2 BHK 1234 Sq-ft Flat,1234 sqft
Old Madras Road,1.09 Cr,3 BHK 1916 Sq-ft Flat,1916 sqft
Devanahalli,60.0 Lac,3 BHK 1145 Sq-ft Flat,1145 sqft
Sarjapur Road,3.08 Cr,4 BHK Villa,3026 sqft
Yelahanka,70.7 Lac,2 BHK 1378 Sq-ft Flat,970 sqft
Hoskote,22.5 Lac,Residential Plot,1500 sqft
Uttarahalli,45.0 Lac,2 BHK 1000 Sq-ft Flat,1000 sqft
RT Nagar,2.39 Cr,3 BHK 2030 Sq-ft Flat,2030 sqft
Doddaballapur,75.0 Lac,3 BHK Villa,1500 sqft
Sarjapur,64.8 Lac,Residential Plot,2400 sqft
Rajarajeshwari Nagar,66.5 Lac,3 BHK 1370 Sq-ft Flat,1370 sqft
Jalahalli,93.6 Lac,3 BHK 1584 Sq-ft Flat,1584 sqft
Hoodi Circle,1.13 Cr,3 BHK 1812 Sq-ft Flat,1812 sqft
Whitefield,1.0 Cr,3 BHK 1604 Sq-ft Flat,1604 sqft
Electronic City,30.3 Lac,2 BHK 648 Sq-ft Flat,648 sqft
Whitefield,1.23 Cr,3 BHK 1724 Sq-ft Flat,1724 sqft
Sarjapur Road,63.1 Lac,3 BHK 1440 Sq-ft Flat,1440 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Kadugodi,55.5 Lac,2 BHK 1155 Sq-ft Flat,1155 sqft
Thanisandra,89.1 Lac,3 BHK 2172 Sq-ft Flat,2172 sqft
Thanisandra Main Road,78.6 Lac,2 BHK 1183 Sq-ft Flat,1183 sqft
Binnypete,1.22 Cr,2 BHK 1245 Sq-ft Flat,1245 sqft
Sarjapur Road,70.0 Lac,2 BHK 1244 Sq-ft Flat,1244 sqft
Malleshwaram,4.40 Cr,4 BHK 3102 Sq-ft Flat,3102 sqft
Sarjapur Road,65.2 Lac,3 BHK 1384 Sq-ft Flat,1384 sqft
Thanisandra Main Road,55.5 Lac,2 BHK 1052 Sq-ft Flat,1052 sqft
Bellandur,92.2 Lac,3 BHK 1726 Sq-ft Flat,1250 sqft
JP Nagar Phase 8,89.5 Lac,3 BHK 1636 Sq-ft Flat,1400 sqft
Whitefield,1.13 Cr,3 BHK 1765 Sq-ft Flat,1765 sqft
Jigani,38.4 Lac,Residential Plot,2400 sqft
Hebbal,3.25 Cr,4 BHK 3124 Sq-ft Flat,3124 sqft
Thanisandra Main Road,1.75 Cr,4 BHK 2502 Sq-ft Flat,2502 sqft
Nandi hills,27.1 Lac,Residential Plot,1200 sqft
Electronics City Phase 1,58.3 Lac,2 BHK 1170 Sq-ft Flat,1170 sqft
Attibele,19.2 Lac,2 BHK 656 Sq-ft Flat,656 sqft
Yeshwantpur,1.39 Cr,3 BHK 1795 Sq-ft Flat,1795 sqft
Kanakapura Road,1.14 Cr,2 BHK 1296 Sq-ft Flat,1296 sqft
Mysore Road,1.09 Cr,3 BHK 1570 Sq-ft Flat,1400 sqft
Whitefield,35.8 Lac,2 BHK 1025 Sq-ft Flat,1025 sqft
Whitefield,87.5 Lac,3 BHK 1425 Sq-ft Flat,1425 sqft
Mysore Road,80.0 Lac,2 BHK 1195 Sq-ft Flat,1195 sqft
Electronic City,11.8 Lac,1 BHK 575 Sq-ft Flat,575 sqft
Gottigere,66.4 Lac,3 BHK 1365 Sq-ft Flat,1365 sqft
Old Madras Road,69.0 Lac,3 BHK 1482 Sq-ft Flat,1482 sqft
JP Nagar 9th Phase,83.2 Lac,3 BHK 1831 Sq-ft Flat,1831 sqft
Sarjapur Road,66.1 Lac,2 BHK 1145 Sq-ft Flat,1145 sqft
Sarjapur,1.29 Cr,3 BHK Villa,2043 sqft
Whitefield,99.4 Lac,3 BHK 1657 Sq-ft Flat,1657 sqft
Whitefield,40.0 Lac,2 BHK 1000 Sq-ft Flat,1000 sqft
K R Puram,73.2 Lac,3 BHK 1405 Sq-ft Flat,1405 sqft
JP Nagar Phase 5,93.5 Lac,3 BHK 189 Sq-m Flat,189 sqm
Sarjapur Road,1.85 Cr,4 BHK Villa,3430 sqft
Sarjapur,32.6 Lac,Residential Plot,2100 sqft
Hennur Main Road,32.9 Lac,2 BHK 915 Sq-ft Flat,915 sqft
